0.07,-11.81,2.94,0.5,0.916748,0.108152,0,-0.001258
0.12,-11.88,2.88,0.56,0.905948,0.102636,-2E-05,0.001086
0.17,-11.81,2.88,0.5,0.936949,0.115376,4.73E-05,0.000565
0.22,-11.81,2.81,0.5,0.905017,0.100936,-4.77E-05,7.7E-05
0.27,-11.75,2.81,0.44,0.927089,0.112889,1.75E-05,-5.1E-05
0.32,-11.69,2.88,0.44,0.918347,0.11125,0.000139272,-0.000149
0.37,-11.62,2.81,0.38,0.915335,0.0958261,-0.000137366,5.1E-05
0.42,-11.56,2.81,0.38,0.918215,0.10899,0.000139627,3.6E-05
0.47,-11.56,2.81,0.38,0.909875,0.1038,-0.000130143,6.3E-07
0.52,-11.56,2.88,0.31,0.918191,0.109295,-0.000187901,-6.2E-05
0.62,-11.5,2.94,0.25,0.919456,0.103196,8.73E-05,7.8E-05
0.67,-11.5,2.88,0.25,0.912076,0.0975533,5.52E-06,-9.7E-05
0.72,-11.5,2.88,0.25,0.918869,0.108156,9.3E-12,9.2E-05
0.77,-11.5,2.75,0.25,0.915175,0.0952668,1.21E-09,-6.5E-05
0.82,-11.44,2.69,0.25,0.927168,0.109226,0.000138014,4.1E-05
0.92,-11.44,2.69,0.25,0.914519,0.10481,-6.89E-05,7.5E-05
1.01,-11.44,2.69,0.25,0.917892,0.103388,0,-4.6E-05
1.08,-11.44,2.69,0.25,0.918018,0.103856,3.49E-06,-7.8E-05
1.12,-11.44,2.56,0.31,0.913967,0.0900913,0.000225781,0.000115
1.17,-11.5,2.56,0.38,0.912711,0.113343,-0.000156888,-4.2E-05
1.22,-11.44,2.56,0.38,0.934027,0.105994,0.000116154,-5.2E-06
1.27,-11.44,2.56,0.31,0.90958,0.10249,-0.000317451,-2.4E-06
1.32,-11.44,2.56,0.38,0.918004,0.10319,0.000339329,-9.9E-05
1.37,-11.44,2.62,0.38,0.919373,0.107756,-0.000159321,-5.7E-05
1.42,-11.44,2.69,0.31,0.917683,0.104525,-0.000179753,2.9E-05
1.47,-11.38,2.75,0.31,0.925945,0.103972,0.000310182,0.000299
1.52,-11.44,2.69,0.38,0.899899,0.0935042,-0.000102737,-9.6E-05
1.57,-11.44,2.75,0.31,0.927526,0.112657,-0.000215551,-7.6E-05
1.62,-11.44,2.75,0.31,0.917384,0.0999395,0.000186902,0.00037
1.67,-11.44,2.75,0.31,0.917401,0.10348,-1.4E-05,9.3E-05
1.72,-11.38,2.81,0.31,0.927906,0.109212,0.000159062,-2.9E-06
1.77,-11.38,2.75,0.31,0.907128,0.0943005,-0.000158253,-6.2E-05
1.82,-11.31,2.75,0.31,0.928955,0.108363,0.000168683,0.000163
1.87,-11.31,2.69,0.38,0.908266,0.0980192,1.77E-05,0.000488
1.92,-11.38,2.75,0.31,0.909729,0.109134,-0.000537311,0.000552
1.97,-11.38,2.81,0.31,0.928591,0.104447,0.000365739,0.000508
2.02,-11.5,2.88,0.38,0.900867,0.100576,-0.000141499,0.000287
